domain,intent,text,spans,logical_form,xtreme-up,source_language
kitchen_and_dining,confirm_reservation,How much money will be in my bank account if I pay my hair a hundred bucks?,72:88:SL:MONEY,[IN:confirm_reservation [SL:MONEY ikhulu lamarandi] ],MONEY: ikhulu lamarandi,zul
kitchen_and_dining,confirm_reservation,Call the Spur's for me to tell them we're coming at 12 noon.,"20:24:SL:RESTAURANT_NAME,59:88:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Spur] [SL:TIME ngehora leshumi nambili emini] ],RESTAURANT_NAME: Spur $$ TIME: ngehora leshumi nambili emini,zul
kitchen_and_dining,confirm_reservation,I wrote an e-mail to Zaï at the restaurant saying that I was coming for dinner tonight.,"25:28:SL:RESTAURANT_NAME,79:97:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Zai] [SL:MEAL_PERIOD ukudla kwakusihlwa] ],RESTAURANT_NAME: Zai $$ MEAL_PERIOD: ukudla kwakusihlwa,zul
kitchen_and_dining,confirm_reservation,Remind the manager of Circus Circus I'm coming over.,21:34:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Circus Circus] ],RESTAURANT_NAME: Circus Circus,zul
kitchen_and_dining,confirm_reservation,please e-mail the manager of the Karibu restaurant and tell him that me and my friends will be arriving at ten o'clock at night for dinner.,"64:70:SL:RESTAURANT_NAME,119:142:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Karibu] [SL:TIME ngehora leshumi ebusuku] ],RESTAURANT_NAME: Karibu $$ TIME: ngehora leshumi ebusuku,zul
kitchen_and_dining,confirm_reservation,I'll text the Marble restaurant and tell them I'll still be there for lunch.,39:45:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME iMrble] ],RESTAURANT_NAME: iMrble,zul
kitchen_and_dining,confirm_reservation,Please send an e-mail to the Fine Craft restaurant saying that we're bringing my family to dinner tomorrow afternoon.,"49:59:SL:RESTAURANT_NAME,108:116:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Fine Craft] [SL:TIME ntambama] ],RESTAURANT_NAME: Fine Craft $$ TIME: ntambama,zul
kitchen_and_dining,confirm_reservation,Please write to Gold's restaurant and tell them I'm coming with my friend for breakfast.,"35:39:SL:RESTAURANT_NAME,85:102:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Gold] [SL:MEAL_PERIOD isidlo sasekuseni] ],RESTAURANT_NAME: Gold $$ MEAL_PERIOD: isidlo sasekuseni,zul
kitchen_and_dining,confirm_reservation,E-mail the restaurant in Lelapa and tell them we'll be there in ten minutes.,"39:45:SL:RESTAURANT_NAME,75:83:SL:NUMBER",[IN:confirm_reservation [SL:RESTAURANT_NAME Lelapa] [SL:NUMBER eyishumi] ],RESTAURANT_NAME: Lelapa $$ NUMBER: eyishumi,zul
kitchen_and_dining,confirm_reservation,Please call Rocco Mamas and I'll tell them I'm coming.,30:41:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Rocco Mamas] ],RESTAURANT_NAME: Rocco Mamas,zul
kitchen_and_dining,confirm_reservation,tell Dolly the manager of Marco's African Place that I'm coming.,"7:12:SL:PERSONAL_NAME,24:45:SL:RESTAURANT_NAME",[IN:confirm_reservation [SL:PERSONAL_NAME Dolly] [SL:RESTAURANT_NAME Marco's African Place] ],PERSONAL_NAME: Dolly $$ RESTAURANT_NAME: Marco's African Place,zul
kitchen_and_dining,confirm_reservation,Please write an e-mail to the restaurant TTK Fledgelings saying I'm coming for dinner tonight.,"47:62:SL:RESTAURANT_NAME,92:99:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME TTK Fledgelings] [SL:TIME ebusuku] ],RESTAURANT_NAME: TTK Fledgelings $$ TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,Please send a message to Belly of the Beast saying that we still remember coming to lunch with my friends.,"45:64:SL:RESTAURANT_NAME,115:131:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME iBelly of The Beast] [SL:MEAL_PERIOD ukudla kwasemini] ],RESTAURANT_NAME: iBelly of The Beast $$ MEAL_PERIOD: ukudla kwasemini,zul
kitchen_and_dining,confirm_reservation,call Ocean Basket and let them know I'm coming.,9:21:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Ocean Basket] ],RESTAURANT_NAME: Ocean Basket,zul
kitchen_and_dining,confirm_reservation,I called up Pitso's Kitchen Waterfront and told them I was coming.,13:39:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Pitso's Kitchen Waterfront] ],RESTAURANT_NAME: Pitso's Kitchen Waterfront,zul
kitchen_and_dining,confirm_reservation,I'm coming to the Pigalle restaurant.,25:32:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Pigalle] ],RESTAURANT_NAME: Pigalle,zul
kitchen_and_dining,confirm_reservation,Please bring me a bottle of Nino's for the tenth coming night.,"37:43:SL:RESTAURANT_NAME,51:57:SL:NUMBER,66:73:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Nino's] [SL:NUMBER ishumi] [SL:TIME ebusuku] ],RESTAURANT_NAME: Nino's $$ NUMBER: ishumi $$ TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,send an e-mail to the restaurant Wolfgat saying that I'll be there at 1 o'clock.,"39:47:SL:RESTAURANT_NAME,68:92:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME iWolfgat] [SL:TIME ngehora leshumi nantathu] ],RESTAURANT_NAME: iWolfgat $$ TIME: ngehora leshumi nantathu,zul
kitchen_and_dining,confirm_reservation,put a sign in the restaurant saying I didn't forget to take the night off.,83:90:SL:TIME,[IN:confirm_reservation [SL:TIME ebusuku] ],TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,"I'm going to answer Fyn's email and say thank you for reminding me that I have a dinner reservation tomorrow, and I'm still coming.",22:25:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Fyn] ],RESTAURANT_NAME: Fyn,zul
kitchen_and_dining,confirm_reservation,Please tell Steers that I and my team are coming for lunch.,"16:22:SL:RESTAURANT_NAME,89:94:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Steers] [SL:TIME emini] ],RESTAURANT_NAME: Steers $$ TIME: emini,zul
kitchen_and_dining,confirm_reservation,What phone number do I use to say I'm coming to eat at the Ocean View Hotel?,89:101:SL:HOTEL_NAME,[IN:confirm_reservation [SL:HOTEL_NAME Oceanic View] ],HOTEL_NAME: Oceanic View,zul
kitchen_and_dining,confirm_reservation,Get me the number for Mugg and Bean and I'll call them when I get back.,25:38:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Mugg and Bean] ],RESTAURANT_NAME: Mugg and Bean,zul
kitchen_and_dining,confirm_reservation,I'll tell her we're bringing my relatives.,24:30:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Tashas] ],RESTAURANT_NAME: Tashas,zul
kitchen_and_dining,confirm_reservation,I'm gonna call the number of the Mozambique restaurant in Gateway and make sure my cousins are still coming.,"43:52:SL:RESTAURANT_NAME,53:63:SL:PLACE_NAME",[IN:confirm_reservation [SL:RESTAURANT_NAME iMozambik] [SL:PLACE_NAME eseGateway] ],RESTAURANT_NAME: iMozambik $$ PLACE_NAME: eseGateway,zul
kitchen_and_dining,confirm_reservation,I'll tell them I'm still taking my parents out of their nightclub.,"16:28:SL:RESTAURANT_NAME,32:39:SL:PLACE_NAME,109:116:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Galaxy Grill] [SL:PLACE_NAME Gateway] [SL:TIME ebusuku] ],RESTAURANT_NAME: Galaxy Grill $$ PLACE_NAME: Gateway $$ TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,Call Callisto's and I'll tell them we're coming Saturday with the grandparents.,"7:17:SL:RESTAURANT_NAME,41:52:SL:DATE",[IN:confirm_reservation [SL:RESTAURANT_NAME iCalisto's] [SL:DATE ngoMgqibelo] ],RESTAURANT_NAME: iCalisto's $$ DATE: ngoMgqibelo,zul
kitchen_and_dining,confirm_reservation,said in an email to Nonna's Italian Kitchen that we would be coming at four o'clock to eat with the sisters in the ministry.,"21:44:SL:RESTAURANT_NAME,62:82:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Nonna's Italian Kitchen] [SL:TIME ngehora leshumi nane] ],RESTAURANT_NAME: Nonna's Italian Kitchen $$ TIME: ngehora leshumi nane,zul
kitchen_and_dining,confirm_reservation,Please assure me at Signature that I'm still coming for my dinner there.,"28:36:SL:RESTAURANT_NAME,61:83:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Signesha] [SL:MEAL_PERIOD isidlo sami sasebusuku] ],RESTAURANT_NAME: Signesha $$ MEAL_PERIOD: isidlo sami sasebusuku,zul
kitchen_and_dining,confirm_reservation,confirm my reservation at the Ocean Navika restaurant.,53:65:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Ocean Navika] ],RESTAURANT_NAME: Ocean Navika,zul
kitchen_and_dining,confirm_reservation,Please remind the Chocolat Bistro restaurant that I'm coming next week.,40:55:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Chocolat Bistro] ],RESTAURANT_NAME: Chocolat Bistro,zul
kitchen_and_dining,confirm_reservation,Please confirm my lunch reservation at Moyo.,"38:54:SL:MEAL_PERIOD,58:62:SL:RESTAURANT_NAME",[IN:confirm_reservation [SL:MEAL_PERIOD ukudla kwasemini] [SL:RESTAURANT_NAME Moyo] ],MEAL_PERIOD: ukudla kwasemini $$ RESTAURANT_NAME: Moyo,zul
kitchen_and_dining,confirm_reservation,Remind the Cafe de la Monte that I'm coming for my lunch.,"16:32:SL:RESTAURANT_NAME,57:77:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Cafe de la Monte] [SL:MEAL_PERIOD isidlo sami sasemini] ],RESTAURANT_NAME: Cafe de la Monte $$ MEAL_PERIOD: isidlo sami sasemini,zul
kitchen_and_dining,confirm_reservation,I reminded the Die Boer that I was coming for dinner.,21:29:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Die Boer] ],RESTAURANT_NAME: Die Boer,zul
kitchen_and_dining,confirm_reservation,Please remind the Wimpys that I'm coming today.,25:30:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Wimpy] ],RESTAURANT_NAME: Wimpy,zul
kitchen_and_dining,confirm_reservation,send a text to the Parafish restaurant to confirm my reservation.,38:46:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Parafish] ],RESTAURANT_NAME: Parafish,zul
kitchen_and_dining,confirm_reservation,Please confirm with Tasha's restaurant that I will still be there at 9 o'clock at night.,"23:42:SL:RESTAURANT_NAME,74:106:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME restaurant ka Tasha] [SL:TIME ihora lesishiyagalolunye ebusuku] ],RESTAURANT_NAME: restaurant ka Tasha $$ TIME: ihora lesishiyagalolunye ebusuku,zul
kitchen_and_dining,confirm_reservation,remind the Terrace restaurant of the reservation I made last week.,30:37:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Terrace] ],RESTAURANT_NAME: Terrace,zul
kitchen_and_dining,confirm_reservation,Remind Wu's Chinese restaurant that I'm still coming in tonight.,"30:42:SL:RESTAURANT_NAME,70:78:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Wu's Chinese] [SL:TIME kusihlwa] ],RESTAURANT_NAME: Wu's Chinese $$ TIME: kusihlwa,zul
kitchen_and_dining,confirm_reservation,remind the Nando's restaurant of my reservation.,10:16:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Nandos] ],RESTAURANT_NAME: Nandos,zul
kitchen_and_dining,confirm_reservation,Please write a message to Yoco Eatery saying I'll be there later tonight.,"19:30:SL:RESTAURANT_NAME,62:69:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Yoco Eatery] [SL:TIME ebusuku] ],RESTAURANT_NAME: Yoco Eatery $$ TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,Remind Vida E Cafe that I'm coming as I said.,16:27:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Vida E Cafe] ],RESTAURANT_NAME: Vida E Cafe,zul
kitchen_and_dining,confirm_reservation,confirm my booking for Kauai on Wednesday at the Tygervalley,"30:35:SL:RESTAURANT_NAME,39:50:SL:DATE,53:64:SL:PLACE_NAME",[IN:confirm_reservation [SL:RESTAURANT_NAME Kauai] [SL:DATE Lwesithathu] [SL:PLACE_NAME Tygervalley] ],RESTAURANT_NAME: Kauai $$ DATE: Lwesithathu $$ PLACE_NAME: Tygervalley,zul
kitchen_and_dining,confirm_reservation,Please remind me of Starbucks in Tiger Valley before I come for lunch on Wednesday.,"19:28:SL:RESTAURANT_NAME,30:41:SL:PLACE_NAME,55:66:SL:DATE,76:91:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Starbucks] [SL:PLACE_NAME Tygervalley] [SL:DATE Lwesithathu] [SL:MEAL_PERIOD isidlo sasemini] ],RESTAURANT_NAME: Starbucks $$ PLACE_NAME: Tygervalley $$ DATE: Lwesithathu $$ MEAL_PERIOD: isidlo sasemini,zul
kitchen_and_dining,confirm_reservation,Please confirm my reservation at the Evert Opstal restaurant on Tuesday.,"42:54:SL:RESTAURANT_NAME,69:78:SL:DATE",[IN:confirm_reservation [SL:RESTAURANT_NAME Evert Opstal] [SL:DATE Lwesibili] ],RESTAURANT_NAME: Evert Opstal $$ DATE: Lwesibili,zul
kitchen_and_dining,confirm_reservation,confirm my reservation at Meat Junction on Friday night.,"30:43:SL:RESTAURANT_NAME,47:57:SL:DATE,58:66:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Meat Junction] [SL:DATE Lwesihlanu] [SL:TIME kusihlwa] ],RESTAURANT_NAME: Meat Junction $$ DATE: Lwesihlanu $$ TIME: kusihlwa,zul
kitchen_and_dining,confirm_reservation,Please make sure they remember me at the Center Court diner for breakfast.,"71:83:SL:RESTAURANT_NAME,99:117:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Center Court] [SL:MEAL_PERIOD ukudla kwasekuseni] ],RESTAURANT_NAME: Center Court $$ MEAL_PERIOD: ukudla kwasekuseni,zul
kitchen_and_dining,confirm_reservation,Please remind Billy G at Suncoast that I'm coming tonight as I have a reservation.,"24:31:SL:RESTAURANT_NAME,33:41:SL:PLACE_NAME,57:64:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Billy G] [SL:PLACE_NAME Suncoast] [SL:TIME ebusuku] ],RESTAURANT_NAME: Billy G $$ PLACE_NAME: Suncoast $$ TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,text Lingela's restaurant that I'll be there as scheduled.,36:44:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME iLingela] ],RESTAURANT_NAME: iLingela,zul
kitchen_and_dining,confirm_reservation,Please make sure the Versailles restaurant knows that we're coming with my two children to celebrate their birthday.,"46:56:SL:RESTAURANT_NAME,93:100:SL:NUMBER",[IN:confirm_reservation [SL:RESTAURANT_NAME Versailles] [SL:NUMBER ababili] ],RESTAURANT_NAME: Versailles $$ NUMBER: ababili,zul
kitchen_and_dining,confirm_reservation,Don't forget to write to the Rainbow Terrace restaurant reminding them of my reservation.,24:50:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Rainbow Terrace restaurant] ],RESTAURANT_NAME: Rainbow Terrace restaurant,zul
kitchen_and_dining,confirm_reservation,Please write to the restaurant Jeera before I come.,34:40:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME iJeera] ],RESTAURANT_NAME: iJeera,zul
kitchen_and_dining,confirm_reservation,remind Liema's Real African food restaurant that I'm coming for a full meal.,"29:46:SL:RESTAURANT_NAME,50:56:SL:PERSONAL_NAME,81:93:SL:DISH_OR_FOOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Real African food] [SL:PERSONAL_NAME Liyema] [SL:DISH_OR_FOOD usu nophuthu] ],RESTAURANT_NAME: Real African food $$ PERSONAL_NAME: Liyema $$ DISH_OR_FOOD: usu nophuthu,zul
kitchen_and_dining,confirm_reservation,Please remind the Havana of my weekend reservation.,25:31:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Havana] ],RESTAURANT_NAME: Havana,zul
kitchen_and_dining,confirm_reservation,Make sure the Riverside Grill remembers me coming.,23:38:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Riverside Grill] ],RESTAURANT_NAME: Riverside Grill,zul
kitchen_and_dining,confirm_reservation,Remind the folks at Franky's that I'm coming for breakfast.,"15:23:SL:RESTAURANT_NAME,48:65:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Franky's] [SL:MEAL_PERIOD isidlo sasekuseni] ],RESTAURANT_NAME: Franky's $$ MEAL_PERIOD: isidlo sasekuseni,zul
kitchen_and_dining,confirm_reservation,Please send a message to the Brasserie that I'm coming this afternoon to eat their meat from the spatula.,"35:44:SL:RESTAURANT_NAME,78:84:SL:DISH_OR_FOOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Brasserie] [SL:DISH_OR_FOOD inyama] ],RESTAURANT_NAME: Brasserie $$ DISH_OR_FOOD: inyama,zul
kitchen_and_dining,confirm_reservation,remind the restaurant at Elangeni of the reservation I made two days ago.,"31:39:SL:HOTEL_NAME,63:92:SL:DATE",[IN:confirm_reservation [SL:HOTEL_NAME Elangeni] [SL:DATE ezinsukwini ezimbili ezedlule] ],HOTEL_NAME: Elangeni $$ DATE: ezinsukwini ezimbili ezedlule,zul
kitchen_and_dining,confirm_reservation,what number can I text to the Durban View Restaurant to say I'll be there in thirty minutes to make a reservation due to traffic?,"36:58:SL:RESTAURANT_NAME,96:124:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Durban View Restaurant] [SL:TIME mizuzu engamashumi amathathu] ],RESTAURANT_NAME: Durban View Restaurant $$ TIME: mizuzu engamashumi amathathu,zul
kitchen_and_dining,restaurant_reviews,How is the food in Debonairs?,20:29:SL:RESTAURANT_NAME,[IN:restaurant_reviews [SL:RESTAURANT_NAME Debonairs] ],RESTAURANT_NAME: Debonairs,zul
kitchen_and_dining,confirm_reservation,Call Olive Bistro and tell them I'm coming Monday night for dinner.,"9:21:SL:RESTAURANT_NAME,49:59:SL:DATE,60:67:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Olive Bistro] [SL:DATE Msombuluko] [SL:TIME ebusuku] ],RESTAURANT_NAME: Olive Bistro $$ DATE: Msombuluko $$ TIME: ebusuku,zul
kitchen_and_dining,confirm_reservation,write Cattle Baron an e-mail saying that I still remember having lunch there tomorrow at the axis.,"9:21:SL:RESTAURANT_NAME,82:94:SL:DATE",[IN:confirm_reservation [SL:RESTAURANT_NAME Cattle Baron] [SL:DATE ksasa ekseni] ],RESTAURANT_NAME: Cattle Baron $$ DATE: ksasa ekseni,zul
kitchen_and_dining,confirm_reservation,Please write an email to Fire Craft and ask if they still have a place for me to eat there tomorrow.,28:38:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Fire Craft] ],RESTAURANT_NAME: Fire Craft,zul
kitchen_and_dining,confirm_reservation,I'll have you dial the number of the Bloemendal restaurant and remind them that I'll still be there for dinner this afternoon.,"53:63:SL:PLACE_NAME,104:113:SL:DATE,114:122:SL:TIME",[IN:confirm_reservation [SL:PLACE_NAME Bloemendal] [SL:DATE namhlanje] [SL:TIME ntambama] ],PLACE_NAME: Bloemendal $$ DATE: namhlanje $$ TIME: ntambama,zul
kitchen_and_dining,confirm_reservation,Please make sure that Asami's Durbanville remembers that I made a reservation for lunch.,38:57:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Asami's Durbanville] ],RESTAURANT_NAME: Asami's Durbanville,zul
kitchen_and_dining,restaurant_reviews,Is Brown Sugar in the Cane a high - quality product?,"30:41:SL:RESTAURANT_NAME,42:50:SL:PLACE_NAME",[IN:restaurant_reviews [SL:RESTAURANT_NAME Brown Sugar] [SL:PLACE_NAME eMhlanga] ],RESTAURANT_NAME: Brown Sugar $$ PLACE_NAME: eMhlanga,zul
kitchen_and_dining,confirm_reservation,make sure my ten o'clock reservation is still valid at the Evert Opstal Restaurant,73:96:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Evert Opstal Restaurant] ],RESTAURANT_NAME: Evert Opstal Restaurant,zul
kitchen_and_dining,confirm_reservation,Remind the manager of the Boathouse Sushi before lunch.,"20:35:SL:RESTAURANT_NAME,47:62:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Boathouse Sushi] [SL:MEAL_PERIOD isidlo sasemini] ],RESTAURANT_NAME: Boathouse Sushi $$ MEAL_PERIOD: isidlo sasemini,zul
kitchen_and_dining,confirm_reservation,Please email the Saltwater Grill restaurant so you don't cancel my reservation because I'm still coming.,48:63:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Saltwater Grill] ],RESTAURANT_NAME: Saltwater Grill,zul
kitchen_and_dining,confirm_reservation,confirm my midnight reservation for dinner at the Alpine Deli.,88:99:SL:RESTAURANT_NAME,[IN:confirm_reservation [SL:RESTAURANT_NAME Alpine Deli] ],RESTAURANT_NAME: Alpine Deli,zul
kitchen_and_dining,confirm_reservation,Please make sure the Salmon house Durbanville knows I'm coming for lunch as I have a reservation although I'll be a few minutes late.,76:91:SL:MEAL_PERIOD,[IN:confirm_reservation [SL:MEAL_PERIOD isidlo sasemini] ],MEAL_PERIOD: isidlo sasemini,zul
kitchen_and_dining,confirm_reservation,Make sure the Spurs remember that I'm having a party today at 6:00.,"25:29:SL:RESTAURANT_NAME,82:100:SL:TIME",[IN:confirm_reservation [SL:RESTAURANT_NAME Spur] [SL:TIME ngehora lesithupha] ],RESTAURANT_NAME: Spur $$ TIME: ngehora lesithupha,zul
kitchen_and_dining,confirm_reservation,send an e-mail to Nikkoz confirming that I'm still coming with the work crew for dinner.,"23:29:SL:RESTAURANT_NAME,91:108:SL:MEAL_PERIOD",[IN:confirm_reservation [SL:RESTAURANT_NAME Nikkoz] [SL:MEAL_PERIOD isidlo sasebusuku] ],RESTAURANT_NAME: Nikkoz $$ MEAL_PERIOD: isidlo sasebusuku,zul
kitchen_and_dining,confirm_reservation,I'm going to block the physical card option in my Tymebank banking app.,80:88:SL:BANK_NAME,[IN:confirm_reservation [SL:BANK_NAME Tymebank] ],BANK_NAME: Tymebank,zul
banking,freeze_account,what option can I use to stop my card as I lost it?,,[IN:freeze_account ],,zul
banking,freeze_account,I'm going to have my account suspended because I've already spent too much money.,,[IN:freeze_account ],,zul
banking,freeze_account,Please call Nedbank and tell them to stop the card because I lost it.,28:35:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,zul
banking,freeze_account,how do you stop an account from being inactive for a week?,,[IN:freeze_account ],,zul
banking,freeze_account,disable my Investec card from the Internet.,22:30:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Investec] ],BANK_NAME: Investec,zul
banking,freeze_account,Please close my card so I can no longer send money online.,,[IN:freeze_account ],,zul
banking,freeze_account,I'm not going to use my PayPal-linked card to make overseas purchases.,37:43:SL:PAYMENT_COMPANY,[IN:freeze_account [SL:PAYMENT_COMPANY PayPal] ],PAYMENT_COMPANY: PayPal,zul
banking,freeze_account,block my standard bank card from buying online.,23:36:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME standard bank] ],BANK_NAME: standard bank,zul
banking,freeze_account,I've had my Absa card disabled online.,29:33:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Absa] ],BANK_NAME: Absa,zul
banking,freeze_account,I'm going to block the physical card option in my Absa banking app.,80:84:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Absa] ],BANK_NAME: Absa,zul
banking,freeze_account,"I'm sorry, but my Capitec card is still valid for my cell phone.",29:36:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,zul
banking,freeze_account,prevent my Nedbank card from being used on my mobile phone.,"29:36:SL:BANK_NAME,59:75:SL:SHOPPING_ITEM",[IN:freeze_account [SL:BANK_NAME Nedbank] [SL:SHOPPING_ITEM makhalekhukhwini] ],BANK_NAME: Nedbank $$ SHOPPING_ITEM: makhalekhukhwini,zul
banking,freeze_account,I'm gonna have to cancel my Old Mutual card for my cell phone.,,[IN:freeze_account ],,zul
banking,freeze_account,I'm going to see if I can get my Capitec card to stop working on my cell phone.,67:74:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,zul
banking,freeze_account,I'm going to put a tap on my Nedbank card.,44:51:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,zul
banking,freeze_account,prevent my Capitec card from being tapped.,29:36:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,zul
banking,freeze_account,block my Nedbank card from withdrawing money.,22:29:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,zul
banking,freeze_account,I'm not going to let my Investec card take any more money.,29:37:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Investec] ],BANK_NAME: Investec,zul
banking,freeze_account,I stopped my Absa card from issuing money.,28:32:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Absa] ],BANK_NAME: Absa,zul
banking,freeze_account,disable my card,,[IN:freeze_account ],,zul
banking,freeze_account,I've deactivated my Nedbank account.,33:40:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,zul
banking,freeze_account,Please block my nedbank card so I can't make any transactions on all apps.,30:37:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME nedbank] ],BANK_NAME: nedbank,zul
banking,freeze_account,disable my Absa card so it doesn't work on the Shein app.,20:24:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Absa] ],BANK_NAME: Absa,zul
banking,freeze_account,prevent my FirstRand card from being used in clothing-shopping systems like Woolworths.,"31:40:SL:BANK_NAME,85:93:SL:SHOPPING_ITEM",[IN:freeze_account [SL:BANK_NAME FirstRand] [SL:SHOPPING_ITEM izingubo] ],BANK_NAME: FirstRand $$ SHOPPING_ITEM: izingubo,zul
banking,freeze_account,disable my Ithala card from working on food systems.,24:30:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Ithala] ],BANK_NAME: Ithala,zul
banking,freeze_account,disable my Absa card so it doesn't work on the Checkers app.,20:24:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Absa] ],BANK_NAME: Absa,zul
banking,freeze_account,I'm not buying anything. I'm not buying anything.,"22:29:SL:BANK_NAME,44:57:SL:PLACE_NAME",[IN:freeze_account [SL:BANK_NAME Capitec] [SL:PLACE_NAME eShaka Marine] ],BANK_NAME: Capitec $$ PLACE_NAME: eShaka Marine,zul
banking,freeze_account,prevent the Absa card from buying at Cotton On because they take more money than they should.,18:22:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Absa] ],BANK_NAME: Absa,zul
