domain,intent,raw,text,language,spans,logical_form
home,shopping_list_update,Don Allah ku kara siga a kayan da zamu siyo,Please add sugar in the list of items to buy,hau,11:16:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD sugar] ]
kitchen_and_dining,restaurant_reservation,Zaka iya ajiye mana teburin cin abincin mutum 10 a Season 7 saboda bakin mu,Can you reserve 10 tables at Season 7 for our guest,hau,"16:18:SL:NUMBER,29:37:SL:RESTAURANT_NAME",[IN:restaurant_reservation [SL:NUMBER 10] [SL:RESTAURANT_NAME Season 7] ]
banking,balance,Kudin da yake cikin asusun ajiya ta na GT bank zai isa na biya kudin haya ta kuwa,Will my GT bank account balance be enough to pay my house rent,hau,"8:15:SL:BANK_NAME,52:62:SL:BILL_TYPE",[IN:balance [SL:BANK_NAME GT bank] [SL:BILL_TYPE house rent] ]
kitchen_and_dining,confirm_reservation,Duba min ko wurin cin abinci na Ten-Ten sun ajiye min taburi na 10,Please check if Ten-Ten resturant have reserved table 10 for me,hau,"16:23:SL:RESTAURANT_NAME,54:56:SL:NUMBER",[IN:confirm_reservation [SL:RESTAURANT_NAME Ten-Ten] [SL:NUMBER 10] ]
banking,freeze_account,Zan iya rufe asusun ajiya ta saboda katin ATM din na ya fadi,Can I block my account because I lost my ATM card,hau,,[IN:freeze_account ]
travel,timezone,Shin akwai banbanci tsakanin lokaci a Afirka da kuma Kasar Amurka,Is there any difference between African and American timezone,hau,,[IN:timezone ]
banking,transactions,Zan iya duba jerin hada-hadar kudi da nayi a watan da ya gabata a manhajar bankin Access,Can I check all my last month's transaction history through the Access bank application,hau,"19:29:SL:DATE,64:75:SL:BANK_NAME",[IN:transactions [SL:DATE last month] [SL:BANK_NAME Access bank] ]
kitchen_and_dining,restaurant_suggestion,Wanne wurin cin abinci ne mafi kyau a nan,Which resturant is the best around here,hau,,[IN:restaurant_suggestion ]
banking,pay_bill,Zan iya biyan kudin wutar lantarki a bankin ku,Can I pay my electri bill in your bank,hau,13:25:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE electri bill] ]
banking,spending_history,Nawa na kashe a siyan katin waya satin da ya wuce ta bankin UBA dina,How much did I spend on recharge card last week using my UBA account,hau,"38:47:SL:DATE,57:60:SL:BANK_NAME",[IN:spending_history [SL:DATE last week] [SL:BANK_NAME UBA] ]
travel,travel_suggestion,Zaka iya zaba mana wurin yawon bude ido mafi kyau da mutum zai iya ziyarta a Bauchi,Can you suggest the best tourist park one can visit in Bauchi,hau,55:61:SL:CITY_OR_PROVINCE,[IN:travel_suggestion [SL:CITY_OR_PROVINCE Bauchi] ]
travel,travel_notification,Ka sanar da Kawun ka zan zo Niger gobe,Inform you Uncle that I will be in Niger tomorrow,hau,"35:40:SL:CITY_OR_PROVINCE,41:49:SL:DATE",[IN:travel_notification [SL:CITY_OR_PROVINCE Niger] [SL:DATE tomorrow] ]
kitchen_and_dining,food_last,Salad zai iya awa 5 kafin ya lalace kuwa,Can Salad last for 5 hours before it goes bad,hau,"4:9:SL:DISH_OR_FOOD,19:26:SL:TIME",[IN:food_last [SL:DISH_OR_FOOD Salad] [SL:TIME 5 hours] ]
kitchen_and_dining,cook_time,Zan iya dafa shinkafa dafa duka a cikin minti 10 kuwa,Can I cook jollof rice in 10 minutes,hau,"11:22:SL:DISH_OR_FOOD,26:36:SL:TIME",[IN:cook_time [SL:DISH_OR_FOOD jollof rice] [SL:TIME 10 minutes] ]
utility,make_call,Ko na iya mafani da wayar ka na kira mata ta,Please can I use your phone to call my wife,hau,,[IN:make_call ]
utility,alarm,Don Allah ka sa kararrawar agogo karfe 6 na safe gobe,Please set the clock alarm for 6:00 am tomorrow,hau,"31:38:SL:TIME,39:47:SL:DATE",[IN:alarm [SL:TIME 6:00 am] [SL:DATE tomorrow] ]
kitchen_and_dining,restaurant_reviews,Shin bakin mu sun jidadin dafatukan shinkafar gidan abinci na Hadiza Balangu kuwa,Did our guests enjoyed the jollof rice from Hadiza Balangu's resturant,hau,"27:38:SL:DISH_OR_FOOD,44:58:SL:RESTAURANT_NAME",[IN:restaurant_reviews [SL:DISH_OR_FOOD jollof rice] [SL:RESTAURANT_NAME Hadiza Balangu] ]
travel,plug_type,Wanne irin soket ne a Kenya,What type of socket is in Kenya,hau,26:31:SL:COUNTRY,[IN:plug_type [SL:COUNTRY Kenya] ]
travel,exchange_rate,Nawa ake chanzar da dala yau a Nigeria,How much is dollar exchange rate today in Nigeria,hau,"12:18:SL:CURRENCY,33:38:SL:DATE,42:49:SL:COUNTRY",[IN:exchange_rate [SL:CURRENCY dollar] [SL:DATE today] [SL:COUNTRY Nigeria] ]
banking,pin_change,Ta ya zan iya canza lambar sirrina ta catin ATM,How do I change my ATM pin,hau,,[IN:pin_change ]
kitchen_and_dining,ingredients_list,Wanne irin kayan hadi ake bukata don yin jalof din shinkafa ta Nigeria,What ingredients do I need to cook Nigerian jollof rice,hau,35:55:SL:DISH_OR_FOOD,[IN:ingredients_list [SL:DISH_OR_FOOD Nigerian jollof rice] ]
travel,book_hotel,Za ka iya ajiye mana daki 2 a hotel din Nourain,Could you reserve t2 room for us at Nourain hotel,hau,36:49:SL:HOTEL_NAME,[IN:book_hotel [SL:HOTEL_NAME Nourain hotel] ]
utility,weather,Ya yanayi yake a Kano yau,How is the weather in Kano today,hau,"22:26:SL:CITY_OR_PROVINCE,27:32:SL:DATE",[IN:weather [SL:CITY_OR_PROVINCE Kano] [SL:DATE today] ]
banking,min_payment,Menene mafi karancin kudin wutar lantarki da zan biya,What is the minimum amount to pay for my electricity bill,hau,41:57:SL:BILL_TYPE,[IN:min_payment [SL:BILL_TYPE electricity bill] ]
travel,international_visa,Ina bukar biza don zuwa kasar Nijar,Do I need visa to travel to Niger,hau,28:33:SL:COUNTRY,[IN:international_visa [SL:COUNTRY Niger] ]
banking,interest_rate,Kaso nawa kuke dauka na kudin ruwa a kan wannan bashin,How much interest do you charge for this loan,hau,,[IN:interest_rate ]
travel,book_flight,Zan iya bokin jirgin zjuwa Legas ranar Asabar,Can I book a flight to Lagos on Saturday,hau,"23:28:SL:CITY_OR_PROVINCE,32:40:SL:DATE",[IN:book_flight [SL:CITY_OR_PROVINCE Lagos] [SL:DATE Saturday] ]
utility,text,Kin turawa Usman sakon karta kwana jiya,Did you send the text message to Usman yesterday,hau,"33:38:SL:PERSONAL_NAME,39:48:SL:DATE",[IN:text [SL:PERSONAL_NAME Usman] [SL:DATE yesterday] ]
banking,bill_balance,Nawa ne kudin gas din girkin ne na wannan watan,How much is my gas bill for this month,hau,"15:23:SL:BILL_TYPE,28:38:SL:DATE",[IN:bill_balance [SL:BILL_TYPE gas bill] [SL:DATE this month] ]
utility,share_location,Za ka iya fada mana inda zamu same ka,Could you tell us where to meet you,hau,,[IN:share_location ]
home,play_music,Kunna mana wakar fin din Tabargaza,Please play the Tabargaza song for us,hau,16:25:SL:SONG_NAME,[IN:play_music [SL:SONG_NAME Tabargaza] ]
home,calendar_update,Zaka iya canza lokacin taron zuwa 5:00 na yamma gobe,Could you change the meeting time to 5:00pm tomorrow,hau,"37:43:SL:TIME,44:52:SL:DATE",[IN:calendar_update [SL:TIME 5:00pm] [SL:DATE tomorrow] ]
home,update_playlist,Kana son wannan wakokin kuwa,Do you like this songs,hau,,[IN:update_playlist ]
kitchen_and_dining,cancel_reservation,Duba min daki na da na kama a hotel din Bristol yau karfe 4 na yamma,Please confirm my room reservation today at 4:00 pm.,hau,"35:40:SL:DATE,44:51:SL:TIME",[IN:cancel_reservation [SL:DATE today] [SL:TIME 4:00 pm] ]
travel,car_rental,Kuna bada hayar mota a kamfanin ku,Do you rent car in your company,hau,,[IN:car_rental ]
kitchen_and_dining,meal_suggestion,Ko zaka iya fadamin abincin Hausawa mafi dadi,Can you suggest me the most delicious Hausa meal,hau,,[IN:meal_suggestion ]
kitchen_and_dining,recipe,Za ka iya bani jerin abubuwan da ake bukata don yin farfesu,Could you give me the recipes for pepper soup,hau,34:45:SL:DISH_OR_FOOD,[IN:recipe [SL:DISH_OR_FOOD pepper soup] ]
travel,translate,me ake cewa 'ayaba' da yaren yoruba?,What is 'banana' in Yoruba language?,hau,"9:15:SL:DISH_OR_FOOD,20:26:SL:LANGUAGE_NAME",[IN:translate [SL:DISH_OR_FOOD banana] [SL:LANGUAGE_NAME Yoruba] ]
banking,transfer,"tura min N20,000 zuwa asusun bankina","transfer N20,000 to my bank account",hau,9:16:SL:MONEY,"[IN:transfer [SL:MONEY N20,000] ]"
utility,time,menene lokaci a yanzu?,what time is it now?,hau,16:19:SL:TIME,[IN:time [SL:TIME now] ]
home,shopping_list_update,don Allah ki sa sikari a jerin abun da za'a siyo,please add sugar on the list of things to buy,hau,11:16:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD sugar] ]
kitchen_and_dining,restaurant_reservation,Ka ajiye mana wajen zama na mutum 4 a gidan abinci domin gobe,reserve us a seat for 4 people at the restaurant for tomorrow,hau,"22:23:SL:NUMBER,53:61:SL:DATE",[IN:restaurant_reservation [SL:NUMBER 4] [SL:DATE tomorrow] ]
banking,balance,naira nawa ne yayi saura a asusun banki na?,How much naira is left in my bank account?,hau,9:14:SL:CURRENCY,[IN:balance [SL:CURRENCY naira] ]
kitchen_and_dining,confirm_reservation,za ka iya duba min ajiyar wajen zama na domin gobe?,can you check my reservation for tomorrow?,hau,33:41:SL:DATE,[IN:confirm_reservation [SL:DATE tomorrow] ]
banking,freeze_account,Ina so ka rufe min asusun banki na,I want you to close my bank account,hau,,[IN:freeze_account ]
travel,timezone,menene yankin lokaci a Nijeriya?,What is the time zone in Nigeria?,hau,25:32:SL:COUNTRY,[IN:timezone [SL:COUNTRY Nigeria] ]
banking,transactions,nuna min ciniki na makon da ya wuce daga bankin UBA dina,show me last week's transactions from my UBA bank,hau,"8:17:SL:DATE,41:44:SL:BANK_NAME",[IN:transactions [SL:DATE last week] [SL:BANK_NAME UBA] ]
kitchen_and_dining,restaurant_suggestion,"ina marmarin abincin larabawa, aina zan same shi?","I crave for Arab food, where can I find it?",hau,,[IN:restaurant_suggestion ]
banking,pay_bill,"ina so na biya kudin ruwa, aina zan biya ?","I want to pay water bill, where should I pay?",hau,14:24:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE water bill] ]
banking,spending_history,nawa na kashe akan tumatir jiya?,how much did i spend on tomatoes yesterday?,hau,"24:32:SL:DISH_OR_FOOD,33:42:SL:DATE",[IN:spending_history [SL:DISH_OR_FOOD tomatoes] [SL:DATE yesterday] ]
travel,travel_suggestion,a ina zamu yi hutun sallah ta bana?,Where will we spend this year's eid break?,hau,"20:29:SL:DATE,32:41:SL:CALENDAR_EVENT",[IN:travel_suggestion [SL:DATE this year] [SL:CALENDAR_EVENT eid break] ]
travel,travel_notification,"zan kasance a jihar kano daga watan Maris zuwa watan mayu, gayawa shugaba","I will be in Kano state from March to May, tell the president",hau,"13:17:SL:CITY_OR_PROVINCE,24:41:SL:DATE",[IN:travel_notification [SL:CITY_OR_PROVINCE Kano] [SL:DATE from March to May] ]
kitchen_and_dining,food_last,dankali yana kaiwa kwana nawa kafin ya lalace?,How many days do potatoes last before they spoil?,hau,17:25:SL:DISH_OR_FOOD,[IN:food_last [SL:DISH_OR_FOOD potatoes] ]
kitchen_and_dining,cook_time,lokaci nawa ake ɗauka kafin a dafa dankali?,How long does it take before potatoes are cooked?,hau,29:37:SL:DISH_OR_FOOD,[IN:cook_time [SL:DISH_OR_FOOD potatoes] ]
utility,make_call, za ka iya kira min gidan abincin Musa a waya?,can you call me Musa's restaurant on the phone?,hau,16:20:SL:PERSONAL_NAME,[IN:make_call [SL:PERSONAL_NAME Musa] ]
utility,alarm,za ka iya siya min agogo mai ƙararrawa?,Can you buy me an alarm clock?,hau,,[IN:alarm ]
kitchen_and_dining,restaurant_reviews,Shin soyayyiyar kazar chicken repubic na da daɗi??,Is the fried chicken at chicken repubic delicious??,hau,"7:20:SL:DISH_OR_FOOD,24:39:SL:RESTAURANT_NAME",[IN:restaurant_reviews [SL:DISH_OR_FOOD fried chicken] [SL:RESTAURANT_NAME chicken repubic] ]
travel,plug_type,wane nau'in soket ne a ingila?,What type of socket is in England?,hau,26:33:SL:COUNTRY,[IN:plug_type [SL:COUNTRY England] ]
travel,exchange_rate,nawa ne farashin canji tsakanin dala da naira?,how much is the exchange rate between dollar and naira?,hau,"38:44:SL:CURRENCY,49:54:SL:CURRENCY",[IN:exchange_rate [SL:CURRENCY dollar] [SL:CURRENCY naira] ]
banking,pin_change,ta yaya zan canza nambobin sirrin katin bankina?,How do I change my bank card PIN?,hau,,[IN:pin_change ]
kitchen_and_dining,ingredients_list,Me da me ake buƙata domin yin kek?,What is needed to make a cake?,hau,25:29:SL:DISH_OR_FOOD,[IN:ingredients_list [SL:DISH_OR_FOOD cake] ]
travel,book_hotel,Aina zan duba otel ɗin da zan kama na sati biyu a jihar kano?,Where should I look for a hotel to book for two weeks in kano state?,hau,"44:53:SL:DATE,57:61:SL:CITY_OR_PROVINCE",[IN:book_hotel [SL:DATE two weeks] [SL:CITY_OR_PROVINCE kano] ]
utility,weather,menene hasashen yanayin sudan?,what is the weather forecast for Sudan?,hau,33:38:SL:COUNTRY,[IN:weather [SL:COUNTRY Sudan] ]
banking,min_payment,nawa ne mani mafi ƙarancin da zan iya biya akan lissafin kuɗin wutar lantarki?,How much is the minimum I can pay on my electricity bill?,hau,40:56:SL:BILL_TYPE,[IN:min_payment [SL:BILL_TYPE electricity bill] ]
travel,international_visa,Ina bukatan visa don tafiya Faransa?,Do I need a visa to travel to France?,hau,30:36:SL:COUNTRY,[IN:international_visa [SL:COUNTRY France] ]
banking,interest_rate,kudin ruwa nawa zan biya a bana?,How much interest will I pay this year?,hau,29:38:SL:DATE,[IN:interest_rate [SL:DATE this year] ]
travel,book_flight,akwai jirgi mai tashi daga Abuja zuwa ingila a gobe da safe?,Is there a flight from Abuja to England tomorrow morning?,hau,"23:28:SL:CITY_OR_PROVINCE,32:39:SL:COUNTRY,40:48:SL:DATE,49:56:SL:TIME",[IN:book_flight [SL:CITY_OR_PROVINCE Abuja] [SL:COUNTRY England] [SL:DATE tomorrow] [SL:TIME morning] ]
utility,text,Tura wa Babana saƙon rubutu cewa ina son sa,Text my Dad that I love him,hau,,[IN:text ]
banking,bill_balance,Nawa ne sauran ƙudin wutar lantarki?,How much is the remaining electricity bill?,hau,26:42:SL:BILL_TYPE,[IN:bill_balance [SL:BILL_TYPE electricity bill] ]
utility,share_location,Ka gayawa matata ina gidan abokina Bello,Tell my wife I am at my friend Bello's house,hau,31:36:SL:PERSONAL_NAME,[IN:share_location [SL:PERSONAL_NAME Bello] ]
home,play_music,dan Allah kunna min sabuwar waƙar Gwanja ,"please, play me the new Gwanja song",hau,24:30:SL:ARTIST_NAME,[IN:play_music [SL:ARTIST_NAME Gwanja] ]
home,calendar_update,ina so ka ƙara ziyarar asibiti a kan kalanda ta,I want you to add a hospital visit to my calendar,hau,20:34:SL:CALENDAR_EVENT,[IN:calendar_update [SL:CALENDAR_EVENT hospital visit] ]
home,update_playlist,shin zaka iya ƙara wannan waƙar a cikin jerin waƙoƙi na?,can you add this song to my playlist?,hau,,[IN:update_playlist ]
kitchen_and_dining,cancel_reservation,zaka iya soke ajiyar wurin cin abinci da muka kama?,Can you cancel the restaurant reservation we have booked?,hau,,[IN:cancel_reservation ]
travel,car_rental,Nawa ne kudin hayan mota a Rimi?,How much is it to rent a car in Rimi?,hau,32:36:SL:PLACE_NAME,[IN:car_rental [SL:PLACE_NAME Rimi] ]
kitchen_and_dining,meal_suggestion,wane abincin sudan ne yafi daɗi?,Which Sudanese food is the best?,hau,,[IN:meal_suggestion ]
kitchen_and_dining,recipe,don Allah duba mana yanda ake girka ƙwai da dankali,please check for us how to cook eggs and potatoes,hau,"32:36:SL:DISH_OR_FOOD,41:49:SL:DISH_OR_FOOD",[IN:recipe [SL:DISH_OR_FOOD eggs] [SL:DISH_OR_FOOD potatoes] ]
travel,translate,"Kedụ ka m ga-esi ekwu ""anyanwụ apụta la"" n'asụsụ german? ","How can I say ""sun is out"" in German? ",ibo,30:36:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME German] ]
banking,transfer,Zigara m Uche puku narị naira iri site na savings akaụntụ m.,"Send Uche ₦10,000 from my savings account.",ibo,"5:9:SL:PERSONAL_NAME,10:17:SL:MONEY,26:41:SL:ACCOUNT_TYPE","[IN:transfer [SL:PERSONAL_NAME Uche] [SL:MONEY ₦10,000] [SL:ACCOUNT_TYPE savings account] ]"
utility,time,Kedụ ihe na akụ n'Amerịka ugbua?,What is the time in America now?,ibo,20:27:SL:COUNTRY,[IN:time [SL:COUNTRY America] ]
home,shopping_list_update,Tinye ji n'ime ndepụta azụmahịa m. ,Add yam to my shopping list. ,ibo,4:7:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD yam] ]
kitchen_and_dining,restaurant_reservation,Ị nwere ike ide were mụ na ndị enyi m ebe anyị ga anọ  na Chicken Republic?,Can you reserve a table for I and my friends at Chicken Republic? ,ibo,48:64:SL:RESTAURANT_NAME,[IN:restaurant_reservation [SL:RESTAURANT_NAME Chicken Republic] ]
banking,balance,Gwa m ihe fọrọ n'ime savings akaụntụ m. ,Tell me what is remaining in my savings account. ,ibo,32:47:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE savings account] ]
kitchen_and_dining,confirm_reservation,Chọpụtara m ma ha e de were mụ na dị m otu ọnụ ụlọ na Bon hotelu.,Find out if they reserved a room for me and my Husband in Bon hotel. ,ibo,58:67:SL:HOTEL_NAME,[IN:confirm_reservation [SL:HOTEL_NAME Bon hotel] ]
banking,freeze_account,Gbachie azụmahịa ọbụla na-aga n'ihu n'ime savings akaụntụ m dị na FMCB.,Block any transactions going on in my FCMB savings account.,ibo,"38:42:SL:BANK_NAME,43:58:SL:ACCOUNT_TYPE",[IN:freeze_account [SL:BANK_NAME FCMB] [SL:ACCOUNT_TYPE savings account] ]
travel,timezone,Gịnị bụ mpaghara oge na Naijiria?,What is the timezone in Nigeria? ,ibo,24:31:SL:COUNTRY,[IN:timezone [SL:COUNTRY Nigeria] ]
banking,transactions,Ọ were ụgwọ m ji ego nọ na akaụntụ nwa akwụkwọ m kwụọ ụnyaahụ?,Did I pay any bill with the money in my student's account yesterday? ,ibo,"40:57:SL:ACCOUNT_TYPE,58:67:SL:DATE",[IN:transactions [SL:ACCOUNT_TYPE student's account] [SL:DATE yesterday] ]
kitchen_and_dining,restaurant_suggestion,Nye m aha ụlọ oriri abụọ dị ọnụ ala n'agbata obi a. ,Give me the names of two restaurants that are affordable in this neighbourhood. ,ibo,21:24:SL:NUMBER,[IN:restaurant_suggestion [SL:NUMBER two] ]
banking,pay_bill,Kwụọ ụgwọ ọkụ ahụ site na kọrent akaụntụ m nke ụlọ akụ Union.,Pay that electricity bill from my Union Bank current account.,ibo,"9:25:SL:BILL_TYPE,34:44:SL:BANK_NAME,45:60:SL:ACCOUNT_TYPE",[IN:pay_bill [SL:BILL_TYPE electricity bill] [SL:BANK_NAME Union Bank] [SL:ACCOUNT_TYPE current account] ]
banking,spending_history,Ego ole ka m kwụrụ ụgwọ akwụkwọ n'mahadum Madonna n'afọ gara aga? ,How much did I pay for tuition at Madonna University last year?,ibo,"23:30:SL:BILL_TYPE,53:62:SL:DATE",[IN:spending_history [SL:BILL_TYPE tuition] [SL:DATE last year] ]
travel,travel_suggestion,Kedụ ebe dịgasị mma ị ga ezumike na London? ,Where are nice places for vacation in London? ,ibo,38:44:SL:CITY_OR_PROVINCE,[IN:travel_suggestion [SL:CITY_OR_PROVINCE London] ]
travel,travel_notification,A ga m anọ n'Enugu abalị atọ na abịa abịa maka mmemme ncheta ọmụmụ Chika.,I will be in Enugu for the next three days because of Chika's birthday celebration.,ibo,"13:18:SL:CITY_OR_PROVINCE,27:42:SL:DATE,54:82:SL:CALENDAR_EVENT",[IN:travel_notification [SL:CITY_OR_PROVINCE Enugu] [SL:DATE next three days] [SL:CALENDAR_EVENT Chika's birthday celebration] ]
kitchen_and_dining,food_last,Kedụ ụbọchị osikapa ahụ ga emebi? ,Which day will the rice expire? ,ibo,19:23:SL:DISH_OR_FOOD,[IN:food_last [SL:DISH_OR_FOOD rice] ]
kitchen_and_dining,cook_time,Awa ole ka anyị kwesịrị isi Ọna ahụ? ,How many hours should we cook the three leaf yam? ,ibo,34:48:SL:DISH_OR_FOOD,[IN:cook_time [SL:DISH_OR_FOOD three leaf yam] ]
utility,make_call,Kpọrọ m nne m n'ekwenti.,Call my mum on the phone.,ibo,,[IN:make_call ]
utility,alarm,Tinye mgbịrịgba ga akpote m ma ọ kụọ elekere iri abụọ nke ehihie. ,Set an alarm that would wake me up by 12pm. ,ibo,38:42:SL:TIME,[IN:alarm [SL:TIME 12pm] ]
kitchen_and_dining,restaurant_reviews,Guputa nyocha ndị mmadụ banyere MacDonalds. ,Read out people's review on MacDonalds. ,ibo,28:38:SL:RESTAURANT_NAME,[IN:restaurant_reviews [SL:RESTAURANT_NAME MacDonalds] ]
travel,plug_type,Kedụ ụdị pulogu ha nwere na Naijiria?,What type of plug do they have in Nigeria?,ibo,34:41:SL:COUNTRY,[IN:plug_type [SL:COUNTRY Nigeria] ]
travel,exchange_rate,Ego ole bụ $1 na naịra taa? ,How much is $1 in naira today? ,ibo,"12:14:SL:MONEY,18:23:SL:CURRENCY,24:29:SL:DATE",[IN:exchange_rate [SL:MONEY $1] [SL:CURRENCY naira] [SL:DATE today] ]
banking,pin_change,Gbanwee akara ngafe akaụntụ m. ,Change my account security pin. ,ibo,,[IN:pin_change ]
kitchen_and_dining,ingredients_list,Gịnị na gịnị ka eji esi ofe nsala ? ,What are the ingredients for white soup?,ibo,29:39:SL:DISH_OR_FOOD,[IN:ingredients_list [SL:DISH_OR_FOOD white soup] ]
travel,book_hotel,Chọtara m hotelu m ga-anọ ma emecha mmemme Eve afọr ọhụrụ. ,Book me a hotel I'd stay in after the New year eve celebrations. ,ibo,38:63:SL:CALENDAR_EVENT,[IN:book_hotel [SL:CALENDAR_EVENT New year eve celebrations] ]
utility,weather,Kedụ ka ihuigwe dị n'ụtụtụ n'Akwa?,How is the weather this morning in Awka?,ibo,"24:31:SL:TIME,35:39:SL:CITY_OR_PROVINCE",[IN:weather [SL:TIME morning] [SL:CITY_OR_PROVINCE Awka] ]
banking,min_payment,Kedu ego ole dịka sịrị nta m kwesịrị ịkwụ ụgwọ mmiri m.,What is the minimum amount I have to pay for my water bill?. ,ibo,48:58:SL:BILL_TYPE,[IN:min_payment [SL:BILL_TYPE water bill] ]
travel,international_visa,Kedụ ụbọchị m ga-aga weere visa m ji aga obodo Turkey. ,Which day am I to collect my visa to Turkey? ,ibo,37:43:SL:COUNTRY,[IN:international_visa [SL:COUNTRY Turkey] ]
banking,interest_rate,Gịnị mere ọnụ ọgụgụ ụma m jiri dị ala. ,Why is my interest rate low?,ibo,,[IN:interest_rate ]
travel,book_flight,Tinye m na ndenye n'ụgbọ elu na-aga London echi.,Book me a flight for London tomorrow.,ibo,"21:27:SL:CITY_OR_PROVINCE,28:36:SL:DATE",[IN:book_flight [SL:CITY_OR_PROVINCE London] [SL:DATE tomorrow] ]
utility,text,"Degaara Ada ozi a, gwa ya na m ga abịa mgbe n'adịghị anya. ","Write a message to Ada, tell her that I will come soon. ",ibo,19:22:SL:PERSONAL_NAME,[IN:text [SL:PERSONAL_NAME Ada] ]
banking,bill_balance,Ego ole bụ ego ụlọ ọgwụ m? ,How much is my hospital bill? ,ibo,15:28:SL:BILL_TYPE,[IN:bill_balance [SL:BILL_TYPE hospital bill] ]
utility,share_location,Zi nne m ebe m nọ. ,Show my mum my location. ,ibo,,[IN:share_location ]
home,play_music,Gbanyere m egwu Osadebe. ,Play me Osadebe's song. ,ibo,8:15:SL:ARTIST_NAME,[IN:play_music [SL:ARTIST_NAME Osadebe] ]
home,calendar_update,Wepụ nzukọ ndị nkụzi ahụ na kalenda m.,Remove that Teacher's meeting from my calendar. ,ibo,12:29:SL:CALENDAR_EVENT,[IN:calendar_update [SL:CALENDAR_EVENT Teacher's meeting] ]
home,update_playlist,Tinye egwu niile Chioma Jesus gụrụ na ndepụta egwu Kraist m. ,Add all Chioma Jesus's songs to my Christian music playlist. ,ibo,"8:20:SL:ARTIST_NAME,35:50:SL:MUSIC_GENRE",[IN:update_playlist [SL:ARTIST_NAME Chioma Jesus] [SL:MUSIC_GENRE Christian music] ]
kitchen_and_dining,cancel_reservation,"Kpọọ onyeisi ụlọ oriri Crunchies, gwa ya ka ọ ka gbuo tebụl ahụ ode were m. ","Call the manager of Crunchies, tell him to cancel the table reservation he kept for me.",ibo,20:29:SL:RESTAURANT_NAME,[IN:cancel_reservation [SL:RESTAURANT_NAME Crunchies] ]
travel,car_rental,Kedụ ihe i chere gbasara igba zite ụgbọ ala maka mmemme ahụ? ,What do you think concerning renting a car for the occasion?,ibo,,[IN:car_rental ]
kitchen_and_dining,meal_suggestion,Tụnyere m aro nri ndị ọnụ ala m nwere ike iri na hotelu a.,Suggest for me an affordable meal that  I can eat in this hotel.,ibo,,[IN:meal_suggestion ]
kitchen_and_dining,recipe,Kedu ka m ga-esi eme achịcha unere?,How can I make banana bread? ,ibo,15:27:SL:DISH_OR_FOOD,[IN:recipe [SL:DISH_OR_FOOD banana bread] ]
travel,translate,"Gwa m ka m ga-esi kwu na ""nwaada a mara mma"" na Twi","Tell me how to say ""this lady is beautiful"" in Twi",ibo,47:50:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Twi] ]
banking,transfer,Wepụ puku narị atọ n'akaụntụ Opay mụ tinyere m n'akaụntụ nkwụnye ego edobere,Take thirty thousand naira from my Opay account and put it in my fixed deposit account,ibo,"5:26:SL:MONEY,35:39:SL:PAYMENT_COMPANY,65:86:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY thirty thousand naira] [SL:PAYMENT_COMPANY Opay] [SL:ACCOUNT_TYPE fixed deposit account] ]
utility,time,Gịnị na-akụ ugbu a na Togo?,What time is it in Togo?,ibo,19:23:SL:COUNTRY,[IN:time [SL:COUNTRY Togo] ]
home,shopping_list_update,Biko wepụrụ mmiri ara ehi ndị nwere oke kalori na ndepụta azụmahịa m,Please remove milk that contains lots of calories from my shopping list,ibo,14:18:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD milk] ]
kitchen_and_dining,restaurant_reservation,Dobere mụ na Di m otu tebulu n'Ejanla dị na Bode Thomas n'ụbochị Valentine.,Reserve a table for I and my husband at Ejanla situated at Bode Thomas on Valentine's day.,ibo,"40:46:SL:RESTAURANT_NAME,59:70:SL:PLACE_NAME,74:89:SL:CALENDAR_EVENT",[IN:restaurant_reservation [SL:RESTAURANT_NAME Ejanla] [SL:PLACE_NAME Bode Thomas] [SL:CALENDAR_EVENT Valentine's day] ]
banking,balance,Gwa m ego fọrọ na Piggy Vest m.,Tell me my Piggy Vest balance,ibo,11:21:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Piggy Vest] ]
kitchen_and_dining,confirm_reservation,Chọpụtara m ma ha edobere mụ na di m otu tebulu maka ụbọchị Valentine,Find out if the reservation for Valentine's day was made,ibo,32:47:SL:CALENDAR_EVENT,[IN:confirm_reservation [SL:CALENDAR_EVENT Valentine's day] ]
banking,freeze_account,Ị nwere ike imechi Opay akaụntụ m ugbua?,Can you block my Opay account right now?,ibo,17:21:SL:PAYMENT_COMPANY,[IN:freeze_account [SL:PAYMENT_COMPANY Opay] ]
